"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"226","2017","12","Uttar Pradesh","Unnao","94.99","244.36","3.37","0.0","3.37","1.17","29.23","0.0","1.2","2.97","2.45","34.44","2.66","11.16","17.26","0.0","0.0","0.02","0.0","0.0","0.0","0.61","0.0","0.0","0.0","0.0","7.68","0.71","0.0"
"227","2017","12","Uttar Pradesh","Rae-Bareily","140.34","188.22","7.8","0.0","7.8","0.91","0.55","0.0","2.54","6.46","6.73","24.73","1.27","3.27","7.91","0.0","0.0","0.07","0.06","0.0","0.0","3.14","0.0","0.0","0.0","0.0","6.16","0.49","0.0"
"228","2017","12","Uttar Pradesh","Sitapur","163.87","210.93","3.46","0.0","3.46","2.36","9.97","0.0","0.64","0.5","2.87","31.48","2.31","10.07","26.63","0.0","0.0","0.02","0.0","0.0","0.0","153.46","0.0","0.0","0.0","0.0","3.87","0.25","0.0"
"229","2017","12","Uttar Pradesh","Hardoi","149.8","314.43","4.83","0.0","4.83","3.39","36.16","0.0","1.7","1.33","1.62","33.48","8.54","17.72","13.38","0.0","0.0","0.0","0.49","0.0","0.0","37.34","0.0","0.0","0.0","0.0","9.75","0.5","0.0"
"230","2017","12","Uttar Pradesh","Kheri","181.78","188.6","0.04","0.0","0.04","0.64","8.41","0.0","0.52","0.4","0.87","20.45","6.49","3.69","27.06","0.0","0.0","0.0","0.0","0.0","0.0","248.13","0.0","0.0","0.0","0.0","1.39","0.09","0.0"
"231","2017","12","Uttar Pradesh","Faizabad","220.25","227.07","2.6","0.0","2.6","0.01","3.59","0.0","1.01","2.91","4.55","16.76","0.0","0.05","7.62","0.0","0.0","0.01","0.0","0.0","0.0","31.94","0.0","0.0","0.0","0.0","7.67","0.53","0.0"
"232","2017","12","Uttar Pradesh","Gonda","232.55","237.01","0.0","0.0","0.0","0.0","51.0","0.0","0.74","1.12","14.61","45.96","0.03","0.37","25.71","0.0","0.0","0.05","0.0","0.0","0.0","123.7","0.0","0.0","0.0","0.0","5.06","1.71","0.0"
"233","2017","12","Uttar Pradesh","Bahraich","239.92","236.37","0.05","0.0","0.05","0.02","92.37","0.0","0.38","0.34","5.3","70.8","1.86","0.82","10.58","0.0","0.0","0.21","0.0","0.05","0.0","30.6","0.0","0.0","0.0","0.0","2.71","0.92","0.0"
"234","2017","12","Uttar Pradesh","Sultanpur","160.48","187.46","6.52","0.0","6.52","0.39","5.35","0.0","1.59","3.33","7.31","28.8","0.03","0.68","4.42","0.0","0.0","0.08","0.11","0.0","0.0","10.35","0.0","0.0","0.0","0.0","7.85","0.96","0.0"
"235","2017","12","Uttar Pradesh","Pratapgarh","96.36","148.32","3.3","0.0","3.3","9.44","0.6","0.0","0.98","3.35","6.1","15.73","0.0","0.14","1.31","0.0","0.0","0.01","0.0","0.0","0.0","0.83","0.0","0.0","0.0","0.0","5.63","0.57","0.0"
"236","2017","12","Uttar Pradesh","Barabanki","181.6","168.35","1.24","0.0","1.24","0.55","4.45","0.0","0.06","0.78","1.93","24.97","0.18","0.17","20.62","0.0","0.0","0.0","0.0","0.0","0.0","9.25","0.0","0.0","0.0","0.0","14.96","0.37","0.0"
"237","2017","16","Uttarakhand","Nainital","132.39","127.2","0.0","0.0","0.0","0.0","3.46","1.9","0.71","0.39","0.0","6.54","0.13","0.01","4.16","0.0","0.0","0.0","0.0","6.12","0.0","17.77","0.0","5.7","10.84","16.54","3.98","0.61","9.55"
"238","2017","16","Uttarakhand","Almorah","28.79","45.16","0.0","0.0","0.0","0.0","2.16","36.92","4.04","0.06","0.1","8.65","0.0","0.15","1.35","0.0","0.0","0.0","0.0","0.48","0.0","0.0","0.0","0.12","3.52","3.63","1.25","0.97","0.02"
"239","2017","16","Uttarakhand","Pithorgarh","26.3","27.44","0.0","0.0","0.0","0.0","2.75","11.92","4.38","0.01","0.03","10.12","0.03","0.06","1.34","0.0","0.0","0.0","0.0","2.1","0.0","0.0","0.0","0.04","3.67","3.71","1.25","0.71","0.08"
"240","2017","16","Uttarakhand","Chamoli","19.59","24.31","0.0","0.0","0.0","0.0","0.35","16.21","3.25","0.0","0.37","2.78","0.0","0.03","0.78","0.0","0.0","0.0","0.0","0.73","0.0","0.0","0.0","0.01","2.52","2.53","2.14","0.09","0.0"
"241","2017","16","Uttarakhand","Uttar Kashi","10.25","10.67","0.0","0.0","0.0","0.0","0.47","5.23","0.24","0.0","0.45","4.49","0.0","0.7","0.98","0.0","0.0","0.0","0.0","0.19","0.0","0.0","0.0","1.02","3.35","4.37","2.89","0.04","0.0"
"242","2017","16","Uttarakhand","Tehri Garhwal","10.41","20.69","0.0","0.0","0.0","0.0","2.11","11.08","2.07","0.0","1.54","8.51","0.0","0.51","0.79","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.02","2.73","2.75","0.97","0.16","0.0"
"243","2017","16","Uttarakhand","Garhwal","10.02","13.44","0.0","0.0","0.0","0.0","2.22","17.08","3.93","0.03","0.67","6.72","0.0","0.05","1.99","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.1","1.87","1.97","0.65","0.87","0.13"
"244","2017","16","Uttarakhand","Dehradun","9.29","16.85","0.0","0.0","0.0","0.0","6.75","1.17","0.58","0.02","0.31","3.1","0.01","0.09","0.81","0.0","0.0","0.0","0.0","0.02","0.0","3.88","0.0","2.88","4.5","7.37","0.74","0.05","1.94"
"601","2017","17","Assam","Cachar","220.46","0.05","0.0","0.0","0.0","0.0","0.15","0.0","0.0","0.06","0.26","6.54","0.0","0.18","2.12","0.0","0.01","0.05","0.0","0.0","0.0","0.45","0.11","10.23","18.37","28.6","5.23","0.1","0.1"
"602","2017","17","Assam","Darrang","325.73","1.19","0.0","0.0","0.0","0.0","7.41","0.0","0.0","0.35","1.03","20.65","0.0","1.72","42.4","0.0","0.06","0.86","0.0","0.0","0.0","3.88","0.01","13.26","41.92","55.18","21.26","1.5","0.37"
"603","2017","17","Assam","Dibrugarh","141.46","0.01","0.0","0.0","0.0","0.0","1.32","0.0","0.0","0.01","0.14","5.76","0.0","0.13","10.81","0.0","0.01","0.0","0.0","0.0","0.0","0.39","0.0","6.79","6.14","12.93","4.39","0.13","0.32"
"604","2017","17","Assam","Goalpara","348.15","5.73","0.0","0.0","0.0","0.0","5.21","0.0","0.0","0.59","1.1","26.63","0.0","2.11","62.98","0.0","0.1","1.15","0.0","0.0","0.0","1.07","0.01","17.91","39.08","56.99","16.74","1.93","0.22"
"605","2017","17","Assam","Kamrup","427.41","5.9","0.0","0.0","0.0","0.0","1.43","0.0","0.0","0.48","0.68","32.89","0.0","1.57","51.51","0.0","0.04","2.2","0.0","0.0","0.0","1.78","0.01","24.77","49.7","74.47","22.61","2.34","0.81"
"606","2017","17","Assam","Karbi Anglong","132.87","1.17","0.0","0.0","0.0","0.0","10.48","0.0","0.0","0.46","1.09","5.84","0.0","3.26","23.67","0.0","0.38","0.06","0.0","0.0","0.0","7.9","0.52","6.2","6.97","13.18","1.22","0.3","0.0"
"607","2017","17","Assam","Lakhimpur","190.66","0.01","0.0","0.0","0.0","0.0","0.46","0.0","0.0","0.01","0.07","20.61","0.0","0.42","40.82","0.0","0.05","0.03","0.0","0.0","0.0","0.56","0.01","5.52","20.42","25.94","13.5","0.28","0.06"
"608","2017","17","Assam","North Cachar Hil / Dima hasao","13.79","0.0","0.0","0.0","0.0","0.0","3.45","0.0","0.0","0.0","0.44","1.28","0.0","1.02","3.05","0.0","0.05","0.0","0.0","0.0","0.0","4.22","0.06","11.78","2.98","14.77","1.92","0.05","0.0"
"609","2017","17","Assam","Nagaon","286.16","3.38","0.0","0.0","0.0","0.0","1.11","0.0","0.0","0.22","0.55","10.03","0.0","1.22","25.18","0.0","0.01","0.57","0.0","0.0","0.0","6.98","0.01","19.37","27.54","46.91","9.5","1.06","0.08"
"610","2017","17","Assam","Sibsagar","330.49","0.14","0.0","0.0","0.0","0.0","0.37","0.0","0.0","0.04","0.18","15.08","0.0","0.36","22.07","0.0","0.05","0.0","0.0","0.0","0.0","3.29","0.01","11.51","8.67","20.17","5.17","0.53","0.0"
"626","2017","18","Himachal Pradesh","Bilashpur","1.43","23.8","0.0","0.0","0.0","0.0","24.51","0.0","0.13","0.08","0.0","0.08","0.0","0.01","0.11","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.06","0.0"
"627","2017","18","Himachal Pradesh","Chamba","2.49","18.68","0.0","0.0","0.0","0.0","26.75","0.0","3.59","0.0","0.0","4.11","0.0","0.0","1.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.45","0.04","0.0"
"629","2017","18","Himachal Pradesh","Kangra","36.98","147.34","0.0","0.0","0.0","0.05","115.75","0.0","2.6","0.12","0.01","4.23","0.0","0.07","3.6","0.0","0.0","0.59","0.0","0.07","0.0","0.79","0.0","0.0","0.0","0.0","1.84","0.22","0.0"
"630","2017","18","Himachal Pradesh","Kinnaur","0.01","0.19","0.0","0.0","0.0","0.0","0.19","0.02","0.99","0.0","0.0","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0"
"631","2017","18","Himachal Pradesh","Kullu","1.34","21.85","0.0","0.0","0.0","0.0","15.06","0.2","2.43","0.04","0.0","3.3","0.01","0.0","0.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.78","0.03","0.0"
"632","2017","18","Himachal Pradesh","Lahul & Spiti","0.0","0.05","0.0","0.0","0.0","0.0","0.02","0.0","0.44","0.0","0.0","0.36","0.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.67","0.0","0.0"
"633","2017","18","Himachal Pradesh","Solan","3.9","27.48","0.0","0.0","0.0","0.0","20.93","0.0","1.61","0.02","0.0","1.72","0.0","0.02","0.34","0.0","0.0","0.0","0.0","0.02","0.0","0.05","0.0","0.0","0.0","0.0","0.07","0.02","0.0"
"634","2017","18","Himachal Pradesh","Mandi","18.95","61.04","0.0","0.0","0.0","0.02","46.59","0.7","2.34","0.02","0.0","4.45","0.0","0.01","0.4","0.0","0.0","0.21","0.0","0.44","0.0","0.0","0.0","0.0","0.0","0.0","2.25","0.1","0.0"
"635","2017","18","Himachal Pradesh","Shimla","1.14","14.1","0.0","0.0","0.0","0.0","10.2","0.64","3.12","0.0","0.02","5.12","0.01","0.01","0.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.98","0.02","0.0"
"636","2017","18","Himachal Pradesh","Sirmaur","5.37","28.15","0.0","0.0","0.0","0.0","20.82","0.25","1.89","0.06","0.01","4.32","0.01","0.01","0.86","0.0","0.0","0.0","0.0","0.02","0.0","1.03","0.0","0.0","0.0","0.0","0.72","0.1","0.0"
"651","2017","19","Kerala","Alappuzha","36.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"652","2017","19","Kerala","Kannur","10.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"653","2017","19","Kerala","Eranakulam","5.58","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18","0.0","0.0","0.0","0.0","0.1","0.0","0.0"
"655","2017","19","Kerala","Kottayam","18.09","0.0","0.0","0.0","0.0","0.0","0.01","0.03","0.0","0.0","0.0","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.0","0.0","0.0","0.0","0.41","0.0","0.0"
"656","2017","19","Kerala","Kozhikode","7.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"657","2017","19","Kerala","Malappuram","7.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"658","2017","19","Kerala","Palakkad","75.28","0.0","0.0","0.0","0.17","0.0","0.06","0.05","0.0","0.0","0.21","0.16","0.27","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.08","0.0","0.0","0.0","0.0","0.01","0.0"
"659","2017","19","Kerala","Kollam","5.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"660","2017","19","Kerala","Thrissur","21.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"661","2017","19","Kerala","Thiruvananthapuram","1.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"701","2017","8","Orissa","Balasore","370.15","0.2","0.0","0.0","0.0","0.0","0.32","0.0","0.0","0.2","0.01","42.1","10.91","1.4","5.97","0.0","0.04","0.0","0.55","0.0","18.87","0.53","0.0","22.87","48.27","71.14","1.4","1.2","0.0"
"702","2017","8","Orissa","Bolangir","284.7","0.2","0.11","0.0","0.11","0.0","7.46","0.33","0.0","1.34","13.34","181.83","13.67","3.43","8.0","0.0","0.12","0.1","1.79","0.0","27.11","1.52","43.56","24.39","61.15","85.54","0.63","9.9","0.0"
"703","2017","8","Orissa","Cuttack","417.2","0.44","0.0","0.0","0.0","0.0","3.44","0.09","0.0","0.9","1.37","272.73","39.96","2.16","8.9","0.0","0.09","0.4","1.18","0.0","52.69","6.06","0.0","34.28","82.23","116.51","5.58","2.29","0.0"
"704","2017","8","Orissa","Dhenkanal","154.31","0.05","0.0","0.0","0.0","0.0","8.22","0.03","0.0","1.9","13.0","161.86","24.38","55.64","7.0","0.0","0.35","0.0","0.58","0.0","88.55","1.42","0.0","49.43","45.66","95.09","2.7","2.24","0.0"
"705","2017","8","Orissa","Ganjam","243.24","0.09","2.32","0.0","2.32","1.04","30.91","21.54","0.0","0.5","16.21","201.26","14.96","26.71","4.0","0.0","1.76","0.0","1.14","0.0","49.22","2.1","2.39","47.76","50.13","97.89","0.6","1.9","0.0"
"706","2017","8","Orissa","Kalahandi","288.76","0.06","0.31","0.0","0.31","0.14","15.9","3.26","0.0","12.1","32.55","284.31","19.0","7.72","10.5","0.26","2.13","2.5","1.99","0.0","50.48","1.32","62.53","29.86","35.85","65.71","0.5","3.25","0.0"
"707","2017","8","Orissa","Keonjhar","188.36","0.31","0.06","0.0","0.06","0.01","24.42","0.02","0.0","2.5","2.91","64.71","8.16","6.81","7.5","0.0","0.04","1.5","0.18","0.0","34.66","0.18","0.0","23.08","46.91","69.99","2.02","0.83","0.0"
"708","2017","8","Orissa","Koraput","401.48","0.34","1.42","0.0","1.42","0.45","112.69","81.63","0.0","3.6","23.98","110.83","12.89","34.98","6.8","0.06","1.8","1.8","2.27","0.0","88.73","10.49","34.04","117.08","82.21","199.29","2.9","3.14","0.0"
"709","2017","8","Orissa","Mayurbhanja","324.09","0.16","0.0","0.0","0.0","0.0","3.84","0.46","0.0","4.2","8.45","67.19","5.5","2.39","7.0","0.0","0.28","3.5","0.24","0.0","20.73","0.0","0.0","40.23","32.7","72.93","1.1","0.81","0.0"
"710","2017","8","Orissa","Phulbani ( Kandhamal )","89.04","0.09","0.07","0.0","0.07","0.07","16.74","2.25","0.0","0.8","9.7","59.72","6.43","4.23","14.0","0.0","0.47","0.0","0.57","0.0","35.36","0.05","0.89","27.23","38.28","65.51","2.2","1.36","0.0"
"711","2017","8","Orissa","Puri","276.34","0.15","0.05","0.0","0.05","0.0","6.18","0.58","0.0","1.1","1.3","190.68","13.47","4.64","4.7","0.09","0.43","1.46","0.79","0.0","25.58","2.09","0.0","63.85","51.1","114.95","1.18","1.06","0.0"
"712","2017","8","Orissa","Sambalpur","529.76","0.41","0.02","0.0","0.02","0.02","8.99","0.06","0.0","1.4","7.7","181.36","25.11","33.8","18.2","0.0","0.01","0.0","0.9","0.0","78.07","1.06","1.16","41.13","46.71","87.84","2.75","3.68","0.0"
"713","2017","8","Orissa","Sundargarh","198.96","0.4","1.26","0.0","1.26","0.03","8.5","4.1","0.0","2.4","7.37","57.94","3.57","19.81","7.0","0.0","0.25","1.0","0.25","0.0","33.32","0.18","0.0","20.3","30.32","50.62","1.53","1.81","0.0"
"800","2017","13","West Bengal","24 Parganas","606.14","1.68","0.0","0.0","0.0","0.0","0.46","0.0","0.0","0.24","0.04","73.14","2.23","15.49","38.19","0.0","0.0","0.21","5.27","0.0","0.0","1.68","0.18","35.67","163.31","198.97","10.51","0.0","0.04"
"803","2017","13","West Bengal","Nadia","242.66","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","3.46","0.22","61.87","4.47","29.47","87.89","0.0","0.0","0.19","0.01","0.0","0.0","2.38","0.0","23.07","90.89","113.96","4.5","0.0","1.12"
"804","2017","13","West Bengal","Murshidabad","367.54","0.06","0.0","0.0","0.0","0.0","13.78","0.0","0.18","8.94","0.21","85.62","0.09","23.0","129.26","0.0","0.0","0.67","0.04","0.0","0.0","3.24","0.0","32.04","103.39","135.43","11.93","0.0","1.24"
"805","2017","13","West Bengal","Burdwan","520.61","3.42","0.0","0.0","0.0","0.0","0.12","0.0","0.0","1.33","0.11","12.54","2.16","18.12","31.91","0.01","0.0","0.11","0.08","0.0","0.0","2.03","0.0","7.95","114.44","122.38","64.07","0.0","0.0"
"806","2017","13","West Bengal","Birbhum","423.81","35.12","0.0","0.0","0.0","0.0","1.18","0.0","0.01","12.36","0.85","23.06","0.09","6.03","32.86","0.01","0.0","0.41","0.03","0.04","0.0","0.58","0.0","7.17","69.36","76.53","15.42","0.0","0.65"
"807","2017","13","West Bengal","Bankura","384.61","1.17","0.0","0.0","0.0","0.0","0.73","0.0","0.0","0.69","0.07","5.09","1.27","27.12","13.84","0.0","0.0","0.11","0.67","0.0","0.0","0.02","0.0","8.82","86.85","95.67","30.8","0.0","0.08"
"810","2017","13","West Bengal","Hooghly","260.37","0.46","0.0","0.0","0.0","0.0","0.53","0.0","0.0","0.11","0.0","5.55","14.29","39.88","9.73","0.0","0.0","0.0","0.01","0.0","0.0","0.57","0.0","14.14","159.71","173.84","103.86","0.0","0.28"
"811","2017","13","West Bengal","Howrah","110.38","0.16","0.0","0.0","0.0","0.0","0.12","0.0","0.0","0.01","0.0","3.46","4.45","2.84","1.93","0.0","0.0","0.04","0.1","0.0","0.0","0.11","0.0","2.74","21.8","24.54","5.82","0.0","0.0"
"812","2017","13","West Bengal","Jalpaiguri","214.23","10.75","0.0","0.0","0.0","0.0","30.97","0.04","0.0","0.12","0.31","15.76","4.16","1.29","10.38","0.05","0.0","0.62","0.05","0.0","0.0","0.15","0.0","10.73","100.84","111.57","45.87","0.0","0.0"
"813","2017","13","West Bengal","Darjeeling","28.27","0.43","0.0","0.0","0.0","0.0","12.65","0.0","0.0","0.02","0.03","1.26","0.02","0.21","0.37","0.0","0.0","0.05","0.01","0.22","0.0","0.01","0.0","9.34","17.37","26.71","3.91","0.0","0.0"
"814","2017","13","West Bengal","Malda","213.93","9.68","0.0","0.0","0.0","0.0","36.68","0.0","0.21","0.55","0.21","23.66","0.15","0.28","46.46","0.0","0.0","0.1","0.0","0.0","0.0","2.82","0.0","35.44","67.76","103.19","8.94","0.0","0.0"
"816","2017","13","West Bengal","Cooch Behar","273.05","7.4","0.0","0.0","0.0","0.0","24.38","0.0","0.0","0.0","0.0","12.12","0.29","0.55","33.36","0.0","0.0","1.05","0.0","0.0","0.0","0.06","0.0","6.93","87.88","94.81","32.33","0.0","0.09"
"817","2017","13","West Bengal","Purulia","273.17","1.05","0.01","0.0","0.01","0.03","10.46","0.01","0.0","0.53","0.27","26.58","1.0","1.15","4.67","0.03","0.0","0.37","0.01","0.0","0.0","0.47","0.0","6.55","38.0","44.55","1.45","0.0","0.0"
"818","2017","13","West Bengal","Midnapur","970.95","0.19","0.0","0.0","0.0","0.0","1.11","0.0","0.0","0.09","0.41","20.98","28.73","72.58","12.93","0.0","0.0","0.02","0.78","0.0","0.0","2.83","0.0","18.31","160.14","178.45","73.21","0.0","0.0"
"822","2017","13","West Bengal","West Dinajpur","417.97","44.44","0.0","0.0","0.0","0.0","82.96","0.0","0.0","0.74","0.0","33.11","0.25","1.44","156.6","0.0","0.0","0.94","0.06","0.0","0.0","1.08","0.0","16.08","97.69","113.77","16.56","0.0","0.0"
"901","2017","2","Bihar","Champaran","401.13","221.16","0.0","0.0","0.0","0.0","88.6","0.07","0.0","0.01","1.63","37.64","0.1","0.09","6.57","0.0","0.01","0.38","3.13","0.0","0.0","166.97","0.0","17.46","35.09","52.55","18.04","1.54","0.0"
"902","2017","2","Bihar","Muzaffarpur","284.69","234.86","0.0","0.0","0.0","0.0","74.19","0.09","0.32","0.12","1.18","43.28","0.0","0.16","8.82","0.0","0.0","0.27","0.11","0.0","0.0","27.85","0.0","17.7","45.73","63.43","18.58","1.07","8.5"
"903","2017","2","Bihar","Darbhanga","379.07","204.34","0.0","0.0","0.0","0.0","76.44","0.65","0.11","0.07","1.18","50.14","0.0","0.54","10.97","0.1","0.0","0.46","0.0","0.0","0.0","5.04","0.0","17.18","58.66","75.84","23.82","1.22","3.54"
"904","2017","2","Bihar","Saharsa","168.85","102.0","0.0","0.0","0.0","0.0","44.05","1.98","0.05","0.0","0.03","52.22","0.0","0.2","2.68","0.0","0.0","0.64","4.54","0.0","0.0","0.15","0.0","3.37","15.91","19.28","7.01","0.99","0.0"
"905","2017","2","Bihar","Purnea","400.4","91.16","0.0","0.0","0.0","0.0","148.41","0.11","0.0","0.24","0.15","26.17","0.0","0.27","5.99","0.0","0.0","2.69","0.57","0.0","0.0","0.12","0.0","12.05","44.21","56.26","23.18","0.8","0.0"
"906","2017","2","Bihar","Saran","236.63","242.43","0.0","0.0","0.0","0.08","60.75","0.94","0.15","0.23","1.95","5.55","0.0","0.01","7.87","0.0","0.0","0.03","0.0","0.0","0.0","27.69","0.0","6.26","33.03","39.29","13.12","0.81","0.0"
"907","2017","2","Bihar","Patna","191.89","148.68","0.01","0.0","0.01","0.01","12.48","0.0","0.25","14.11","1.15","57.09","0.0","0.0","6.27","0.0","0.0","0.18","0.06","0.0","0.0","0.23","0.0","0.11","28.4","28.52","10.06","2.06","5.76"
"908","2017","2","Bihar","Mungair","192.94","194.25","0.09","0.0","0.09","0.0","114.66","0.1","0.3","8.03","3.83","26.27","0.01","0.04","16.4","0.0","0.0","0.38","0.74","0.0","0.0","2.53","0.0","5.03","21.53","26.56","9.9","1.5","4.05"
"909","2017","2","Bihar","Bhagalpur","125.45","80.63","0.01","0.0","0.01","0.01","49.04","0.0","1.4","5.15","1.32","14.78","0.0","0.03","2.5","0.0","0.01","1.01","0.16","0.0","0.0","2.63","0.0","3.49","14.67","18.16","8.24","0.33","0.09"
"910","2017","15","Jharkhand","Santhal Paragana / Dumka","351.0","0.0","0.37","0.0","0.37","0.05","92.42","1.69","0.0","50.59","40.55","0.0","2.72","3.87","80.8","0.59","0.02","10.86","0.25","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"911","2017","2","Bihar","Shahabad (now part of Bhojpur district)","492.74","359.53","1.25","0.0","1.25","4.27","3.66","0.0","6.21","13.66","2.94","26.3","0.0","0.0","7.04","0.0","0.0","2.21","0.0","0.0","0.0","0.24","0.0","1.19","25.09","26.28","10.66","1.38","2.43"
"912","2017","2","Bihar","Gaya","433.19","222.27","0.0","0.0","0.0","0.0","5.17","0.25","1.59","16.6","3.13","59.87","0.46","0.23","4.01","0.0","0.0","3.86","0.04","0.0","0.0","0.32","0.0","0.24","27.15","27.39","12.97","1.44","0.48"
"913","2017","15","Jharkhand","Hazaribagh","266.02","0.0","0.64","0.0","0.64","0.03","64.33","2.64","0.0","61.76","41.75","0.0","3.83","0.89","64.31","0.22","0.01","7.55","0.13","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"914","2017","15","Jharkhand","Dhanbad","53.28","0.0","0.17","0.0","0.17","0.03","4.95","0.29","0.0","7.04","5.37","0.0","0.49","0.18","11.14","0.0","0.01","0.23","0.04","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"915","2017","15","Jharkhand","Palamau","121.89","0.0","0.75","0.0","0.75","0.0","66.32","0.28","0.0","40.03","74.38","0.0","6.24","8.38","49.12","0.31","0.0","6.4","0.2","0.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"916","2017","15","Jharkhand","Ranchi","556.33","0.0","0.18","0.0","0.18","0.02","39.61","11.21","0.0","43.27","54.67","0.0","17.51","0.89","62.53","0.86","0.1","6.94","0.61","0.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"917","2017","15","Jharkhand","Singhbhum","386.91","0.0","1.21","0.0","1.21","0.48","27.07","2.91","0.0","29.99","28.38","0.0","1.48","1.97","37.14","0.03","0.01","20.1","0.95","0.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
