"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"167","2017","9","Punjab","Kapurthala","118.0","108.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.3","0.0","0.1","0.5","0.0","0.0","0.0","0.1","0.0","0.0","4.0","0.0","3.92","14.45","18.37","0.0","0.0","13.36"
"168","2017","9","Punjab","Jalandhar","207.6","216.97","0.0","0.0","0.0","0.0","10.88","0.0","0.0","0.0","0.3","0.72","0.0","0.2","1.84","0.0","0.0","0.0","0.26","0.0","0.0","14.66","0.0","0.74","21.95","22.69","0.0","0.0","36.99"
"169","2017","9","Punjab","Hoshiarpur","98.4","173.03","0.0","0.0","0.0","0.0","59.12","0.0","0.0","0.0","0.0","0.38","1.2","0.0","4.46","0.0","0.0","0.0","0.04","0.0","0.0","25.34","0.0","1.07","5.54","6.61","0.0","0.0","35.85"
"170","2017","9","Punjab","Roopnagar / Ropar","55.5","92.0","0.0","0.0","0.0","0.0","25.0","0.0","0.15","0.05","0.1","1.35","0.0","0.2","2.45","0.0","0.0","0.0","0.3","0.0","0.0","3.5","0.0","0.22","2.8","3.02","0.0","0.0","12.83"
"171","2017","9","Punjab","Ludhiana","270.9","264.75","0.0","0.0","0.0","0.0","1.0","0.0","1.44","0.0","0.6","2.59","0.0","0.0","1.49","0.0","0.0","0.0","1.56","0.0","0.0","3.45","0.0","0.01","14.69","14.7","0.0","0.0","20.64"
"172","2017","9","Punjab","Ferozpur","641.06","768.48","0.0","0.0","0.0","0.2","1.0","0.0","1.82","1.17","0.6","4.13","0.0","0.47","6.98","0.0","0.0","0.0","0.0","0.0","0.0","2.0","112.12","26.85","22.36","49.21","0.0","0.0","87.61"
"174","2017","9","Punjab","Bhatinda","388.94","556.52","0.0","0.0","0.0","0.6","0.0","0.0","1.58","0.23","0.1","2.77","0.0","0.03","3.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","168.88","3.93","11.53","15.46","0.0","0.0","56.01"
"175","2017","9","Punjab","Sangrur","403.88","408.8","0.0","0.0","0.0","0.2","0.0","0.0","1.92","0.1","0.3","3.35","0.0","0.0","2.15","0.0","0.0","0.0","0.19","0.0","0.0","5.24","9.0","0.42","6.98","7.4","0.0","0.0","45.79"
"176","2017","9","Punjab","Patiala","314.72","322.45","0.0","0.0","0.0","0.0","4.0","0.0","0.78","0.05","0.1","2.51","0.0","0.0","1.61","0.0","0.0","0.0","3.65","0.0","0.0","4.81","1.0","1.13","15.96","17.09","0.0","0.0","34.07"
"177","2017","4","Haryana","Hissar","305.38","829.58","0.0","0.0","1.42","110.51","0.17","0.0","10.39","21.5","0.0","14.2","3.2","0.34","252.79","0.0","0.0","0.0","0.0","0.0","257.03","0.0","482.57","0.0","0.0","0.0","0.0","0.0","0.0"
"180","2017","4","Haryana","Gurgaon","64.2","243.7","0.0","0.0","17.6","64.6","0.0","0.0","2.3","0.4","0.0","1.3","0.0","0.8","41.1","0.0","0.0","0.0","0.0","0.0","41.9","0.0","23.7","0.0","0.0","0.0","0.0","0.0","0.0"
