Site Name,X-coordinate,Y-coordinate
Energy Works Hull - AD (Waste AD),510170.0,430424.0
Staples Anaerobic Digestion CHP Plant (Waste AD),536298.0,350519.0
Dimmer Anaerobic Digestor (Waste AD),361141.0,131346.0
Wallingford (Waste AD),461566.0,190948.0
Granville Ecopark,88500.0,521293.0
Granox Biogas Plant,350392.0,384214.0
Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,457265.0,404820.0
Trumps Farm (AD),499459.0,165739.0
Ratty's Lane Sustainable Energy Facility (Waste AD),538126.0,209495.0
Brookhurst Wood (Waste AD),517281.0,135056.0
Halstead Renewable Power Project (Waste AD),582782.0,230400.0
Walpole Landfill AD (Waste AD),331400.0,143200.0
Waen Biogas (Waste AD),304959.0,374970.0
Pebble Hall Farm - Food Waste AD,466125.0,284563.0
St Nicholas Court Farm (AD),625958.0,166890.0
Gore Cross - AD,452924.0,86485.0
Dagenham Docks Biogas (Waste AD),548310.0,182740.0
Reservoir Road (Farm AD),121174.0,500121.0
Leeming Bar (Waste AD),429880.0,488497.0
Metheringham Heath (Farm AD),502320.0,360674.0
Pure Malt Products AD,351977.0,674000.0
Bearley Lane,349663.0,122127.0
Codford Biogas (Waste AD),399036.0,141476.0
Bolton Road Waste Treatment and Renewable Energy Facility (Waste AD),445484.0,401479.0
Broughall Fields Farm,355602.0,340776.0
Cattlegate Farm Biogas (Farm AD),530613.0,201383.0
GlaxoSmithKline (Waste AD),234362.0,636566.0
Great Hele Farm AD farm waste,272135.0,124437.0
Imperial Park,452775.0,521083.0
Land Adjacent to Thomas Swan and Co Ltd.,412017.0,551124.0
North Moor Farm AD Plant (Farm AD),479949.0,409327.0
Sutton Grange AD Plant,469299.0,385640.0
Wingmoor Farm (Waste AD),394374.0,227514.0
Carrington Farm AD,530540.0,354400.0
West Roucan Farm,302227.0,578926.0
Charlton Lane Eco Park (Waste AD),508556.0,168426.0
Bourne Park AD (AD),372306.0,97577.0
Decoy Farm (Farm AD),525991.0,312650.0
Allerton Waste Recovery Park (Waste AD),440675.0,459799.0
Coursers Farm AD Plant (Waste AD),520447.0,204547.0
Millerhill AD (Waste AD),332400.0,670800.0
Hogsbrook Farm - Farm AD,302332.0,89045.0
Wothersome Grange Farm House AD - crops,439943.0,442482.0
Knostrop WWTW AD,432562.0,431608.0
Land South East Of Water Treatment Works Bridge End,394860.0,564306.0
Teesside Green Energy Plant (Waste AD),448771.0,520961.0
Crowmarsh Battle Farm (Farm AD),462191.0,190619.0
Great Glen Scheme,235700.0,815600.0
Glendoe Hydro Scheme,239200.0,809000.0
Fasnakyle Hydro Extension,231850.0,829750.0
Kinlochleven Hydro Power Station,218729.0,762021.0
Gaur,246415.0,756890.0
Pitlochry,293515.0,757730.0
Loch Gair,192865.0,691305.0
Sron Mor,264850.0,798415.0
Striven,205595.0,683990.0
Aigas,247395.0,843655.0
Kilmorack,249410.0,844225.0
Orrin,246905.0,851695.0
Tor Achilty,244625.0,854520.0
Ceannacroc,222745.0,810690.0
Foyers Falls,249845.0,820010.0
Invergarry,231930.0,801320.0
Livishie,240245.0,817495.0
Cassley,247325.0,901540.0
Cashlie,248530.0,741735.0
Loch Eilde Mor Hydro (Kinlochleven extension),221625.0,763589.0
Beeston Weir Hydro Scheme,453310.0,335270.0
Llyn Brianne Dam,278920.0,248360.0
Elan Valley Hydro Scheme,290000.0,267500.0
Turret water treatment works,286500.0,721600.0
Inverfarigaig,252100.0,823700.0
Kingairloch,183600.0,753300.0
Douglas Water Hydro,204559.0,706950.0
Inverlael Hydro,218650.0,885650.0
River E Hydro Scheme,252100.0,816300.0
Innerhadden Burn Hydro,265950.0,750850.0
Cuileig Hydro Scheme,219300.0,878900.0
Garrogie Hydro Scheme,250100.0,813300.0
Inver Hydro,144165.0,671452.0
Loch An Laoigh Hydro,201607.0,839621.0
Leacann Hydro,202172.0,702341.0
Uisge Dubh Hydro,200062.0,836426.0
Ederline Hydro,192775.0,703372.0
River Lochy Hydro,219760.0,727460.0
River Taodail Hydro,194657.0,842146.0
